Date,Fail Txs,AAVE,BAND,BETH,BNB,BTC,BTCB,CHF,CNY,COVER,CREAM,CRV,DAI,ETH,EUR,FRAX,FTM,GBP,HEGIC,JPY,KP3R,KRW,LINK,OIL,SFI,SNX,SUSD,SUSHI,USDC,USDT,XAG,XAU,YFI
2021-04-01,0,422,422,426,426,426,426,36,36,422,422,422,422,426,42,422,422,36,422,42,422,36,426,420,422,422,422,422,422,420,42,42,424
2021-04-02,0,118,118,120,120,120,120,10,10,118,118,118,120,120,12,118,118,10,118,12,118,10,120,118,118,118,118,118,118,118,12,12,120
2021-04-03,0,285,285,286,286,286,286,24,24,285,285,285,284,286,28,285,285,24,285,28,285,24,286,284,285,285,285,285,284,284,28,28,286
2021-04-04,0,346,344,348,348,348,348,30,28,346,346,348,344,348,36,346,348,30,346,36,346,28,348,346,346,344,348,344,346,346,36,36,350
2021-04-05,0,78,78,78,78,78,78,6,6,78,78,78,76,78,8,78,78,6,78,8,78,6,78,78,78,78,78,78,76,78,8,8,78
2021-04-06,0,284,285,285,286,285,285,24,24,284,284,284,285,285,29,284,284,24,284,29,284,24,285,284,284,285,284,285,285,284,29,29,285
2021-04-07,0,346,344,348,348,348,348,28,30,346,346,346,344,348,34,346,346,28,346,34,346,30,348,346,346,344,346,344,344,344,34,34,346
2021-04-08,0,16,14,16,16,16,16,2,2,16,16,16,14,16,2,16,16,2,16,2,16,2,16,14,16,14,16,14,14,14,2,2,16
2021-04-09,0,284,284,286,287,286,286,24,24,284,284,284,285,286,28,284,284,24,284,28,284,24,286,285,284,285,284,284,285,285,28,28,287
2021-04-10,0,170,170,172,172,172,172,14,14,170,170,170,168,172,16,170,170,14,170,16,170,14,172,170,170,170,170,170,170,170,16,16,172
2021-04-11,0,284,284,287,287,287,287,24,24,284,284,283,284,287,29,284,283,24,284,29,284,24,287,284,284,284,284,284,284,284,29,29,287
2021-04-12,0,408,408,416,416,416,416,34,34,408,408,408,408,416,40,408,408,34,408,40,408,34,416,410,408,408,408,408,408,408,40,40,416
2021-04-13,0,66,66,68,68,68,68,6,6,66,66,66,66,68,6,66,66,6,66,6,66,6,68,66,66,68,66,66,66,66,6,6,68
2021-04-14,0,284,284,288,288,288,288,24,24,284,284,283,284,288,28,284,283,24,284,28,284,24,288,284,284,284,284,284,284,284,28,28,287
2021-04-15,0,278,296,298,298,298,298,26,26,278,278,296,298,298,30,278,296,26,278,30,278,26,298,296,278,296,276,296,296,296,30,30,300
2021-04-16,0,285,285,287,287,287,287,24,24,285,285,285,284,287,28,285,285,24,285,28,285,24,287,284,285,285,285,285,284,284,28,28,287
2021-04-17,0,534,534,540,540,540,540,46,46,534,534,534,536,540,54,534,534,46,534,54,534,46,540,536,534,534,534,534,536,536,54,54,542
2021-04-18,0,242,242,242,242,242,242,20,20,242,242,242,240,242,24,242,242,20,242,24,242,20,242,240,242,242,242,242,240,240,24,24,242
2021-04-19,0,289,283,132,289,287,132,25,25,282,282,282,283,287,29,282,282,25,282,29,282,25,287,282,282,289,282,288,281,281,29,29,289
2021-04-20,0,502,518,0,530,528,0,46,46,516,516,516,518,528,52,516,516,46,516,52,516,46,530,518,516,524,516,522,518,518,52,52,530
2021-04-21,0,234,234,0,234,234,0,20,20,234,234,232,234,234,24,234,232,20,234,24,234,20,234,234,234,232,232,234,234,234,24,24,234
2021-04-22,0,287,288,0,287,288,0,24,24,288,288,288,288,288,28,288,288,24,288,28,288,24,288,288,288,288,288,288,288,288,28,28,288
2021-04-23,0,524,526,0,526,526,0,44,44,526,526,526,526,526,52,526,526,44,526,52,526,44,526,526,526,526,526,526,526,526,52,52,526
2021-04-24,0,244,244,0,244,244,0,22,22,244,244,244,242,244,24,244,244,22,244,24,244,22,244,244,244,244,244,242,244,244,24,24,244
2021-04-25,0,285,287,0,287,288,0,24,24,287,287,287,288,288,29,287,288,24,287,29,287,24,287,288,287,287,287,286,287,287,29,29,287
2021-04-26,0,538,542,0,542,544,0,46,46,542,542,542,540,544,52,542,542,46,542,52,542,46,542,542,542,542,542,538,542,542,52,52,542
2021-04-27,0,264,266,0,266,266,0,24,24,266,266,266,266,266,26,266,266,24,266,26,266,24,266,266,266,266,266,266,266,266,26,26,266
2021-04-28,0,283,284,0,283,285,0,24,23,284,284,284,284,285,28,284,285,24,284,28,284,23,284,284,284,284,285,282,284,284,28,28,284
2021-04-29,0,386,390,0,388,390,0,32,32,388,388,388,390,390,38,388,388,32,388,38,388,32,388,388,388,390,388,386,390,390,38,38,388
2021-04-30,0,248,251,0,252,252,0,22,21,252,252,251,251,252,25,252,251,22,252,25,252,21,252,252,252,251,251,248,250,250,25,25,251
